"Rep","Party","State","Vote","Bill","Vote_Question"
"Greene (GA)","Republican","Georgia","Nay","H. R. 8038","On Passage"
"Griffith","Republican","Virginia","Yea","H. R. 8038","On Passage"
"Grijalva","Democratic","Arizona","Not Voting","H. R. 8038","On Passage"
"Grothman","Republican","Wisconsin","Yea","H. R. 8038","On Passage"
"Guest","Republican","Mississippi","Yea","H. R. 8038","On Passage"
"Guthrie","Republican","Kentucky","Yea","H. R. 8038","On Passage"
"Hageman","Republican","Wyoming","Nay","H. R. 8038","On Passage"
"Harder (CA)","Democratic","California","Yea","H. R. 8038","On Passage"
"Harris","Republican","Maryland","Nay","H. R. 8038","On Passage"
"Harshbarger","Republican","Tennessee","Yea","H. R. 8038","On Passage"
"Hayes","Democratic","Connecticut","Yea","H. R. 8038","On Passage"
"Hern","Republican","Oklahoma","Yea","H. R. 8038","On Passage"
"Higgins (LA)","Republican","Louisiana","Yea","H. R. 8038","On Passage"
"Hill","Republican","Arkansas","Yea","H. R. 8038","On Passage"
"Himes","Democratic","Connecticut","Yea","H. R. 8038","On Passage"
"Hinson","Republican","Iowa","Yea","H. R. 8038","On Passage"
"Horsford","Democratic","Nevada","Yea","H. R. 8038","On Passage"
"Houchin","Republican","Indiana","Yea","H. R. 8038","On Passage"
"Houlahan","Democratic","Pennsylvania","Yea","H. R. 8038","On Passage"
"Hoyer","Democratic","Maryland","Yea","H. R. 8038","On Passage"
"Hoyle (OR)","Democratic","Oregon","Nay","H. R. 8038","On Passage"
"Hudson","Republican","North Carolina","Yea","H. R. 8038","On Passage"
"Huffman","Democratic","California","Yea","H. R. 8038","On Passage"
"Huizenga","Republican","Michigan","Yea","H. R. 8038","On Passage"
"Hunt","Republican","Texas","Not Voting","H. R. 8038","On Passage"
"Issa","Republican","California","Yea","H. R. 8038","On Passage"
"Ivey","Democratic","Maryland","Yea","H. R. 8038","On Passage"
"Jackson (IL)","Democratic","Illinois","Nay","H. R. 8038","On Passage"
"Jackson (NC)","Democratic","North Carolina","Not Voting","H. R. 8038","On Passage"
"Jackson (TX)","Republican","Texas","Yea","H. R. 8038","On Passage"
"Jackson Lee","Democratic","Texas","Nay","H. R. 8038","On Passage"
"Jacobs","Democratic","California","Nay","H. R. 8038","On Passage"
"James","Republican","Michigan","Not Voting","H. R. 8038","On Passage"
"Jayapal","Democratic","Washington","Nay","H. R. 8038","On Passage"
"Jeffries","Democratic","New York","Yea","H. R. 8038","On Passage"
"Johnson (GA)","Democratic","Georgia","Yea","H. R. 8038","On Passage"
"Johnson (LA)","Republican","Louisiana","Yea","H. R. 8038","On Passage"
"Johnson (SD)","Republican","South Dakota","Yea","H. R. 8038","On Passage"
"Jordan","Republican","Ohio","Yea","H. R. 8038","On Passage"
"Joyce (OH)","Republican","Ohio","Yea","H. R. 8038","On Passage"
"Joyce (PA)","Republican","Pennsylvania","Yea","H. R. 8038","On Passage"
"Kamlager-Dove","Democratic","California","Nay","H. R. 8038","On Passage"
"Kaptur","Democratic","Ohio","Yea","H. R. 8038","On Passage"
"Kean (NJ)","Republican","New Jersey","Yea","H. R. 8038","On Passage"
"Keating","Democratic","Massachusetts","Yea","H. R. 8038","On Passage"
"Kelly (IL)","Democratic","Illinois","Yea","H. R. 8038","On Passage"
"Kelly (MS)","Republican","Mississippi","Yea","H. R. 8038","On Passage"
"Kelly (PA)","Republican","Pennsylvania","Yea","H. R. 8038","On Passage"
"Khanna","Democratic","California","Nay","H. R. 8038","On Passage"
"Kiggans (VA)","Republican","Virginia","Yea","H. R. 8038","On Passage"
"Kildee","Democratic","Michigan","Yea","H. R. 8038","On Passage"
"Kiley","Republican","California","Yea","H. R. 8038","On Passage"
"Kilmer","Democratic","Washington","Yea","H. R. 8038","On Passage"
"Kim (CA)","Republican","California","Yea","H. R. 8038","On Passage"
"Kim (NJ)","Democratic","New Jersey","Nay","H. R. 8038","On Passage"
"Krishnamoorthi","Democratic","Illinois","Yea","H. R. 8038","On Passage"
"Kuster","Democratic","New Hampshire","Yea","H. R. 8038","On Passage"
"Kustoff","Republican","Tennessee","Yea","H. R. 8038","On Passage"
"LaHood","Republican","Illinois","Yea","H. R. 8038","On Passage"
"LaLota","Republican","New York","Yea","H. R. 8038","On Passage"
"LaMalfa","Republican","California","Yea","H. R. 8038","On Passage"
"Lamborn","Republican","Colorado","Yea","H. R. 8038","On Passage"
"Landsman","Democratic","Ohio","Yea","H. R. 8038","On Passage"
"Langworthy","Republican","New York","Yea","H. R. 8038","On Passage"
"Larsen (WA)","Democratic","Washington","Nay","H. R. 8038","On Passage"
"Larson (CT)","Democratic","Connecticut","Yea","H. R. 8038","On Passage"
"Latta","Republican","Ohio","Yea","H. R. 8038","On Passage"
"LaTurner","Republican","Kansas","Yea","H. R. 8038","On Passage"
"Lawler","Republican","New York","Yea","H. R. 8038","On Passage"
"Lee (CA)","Democratic","California","Nay","H. R. 8038","On Passage"
"Lee (FL)","Republican","Florida","Yea","H. R. 8038","On Passage"
"Lee (NV)","Democratic","Nevada","Yea","H. R. 8038","On Passage"
"Lee (PA)","Democratic","Pennsylvania","Nay","H. R. 8038","On Passage"
"Leger Fernandez","Democratic","New Mexico","Yea","H. R. 8038","On Passage"
"Lesko","Republican","Arizona","Yea","H. R. 8038","On Passage"
"Letlow","Republican","Louisiana","Yea","H. R. 8038","On Passage"
"Levin","Democratic","California","Yea","H. R. 8038","On Passage"
"Lieu","Democratic","California","Yea","H. R. 8038","On Passage"
"Lofgren","Democratic","California","Nay","H. R. 8038","On Passage"
"Loudermilk","Republican","Georgia","Yea","H. R. 8038","On Passage"
"Lucas","Republican","Oklahoma","Yea","H. R. 8038","On Passage"
"Luetkemeyer","Republican","Missouri","Not Voting","H. R. 8038","On Passage"
"Luna","Republican","Florida","Yea","H. R. 8038","On Passage"
"Luttrell","Republican","Texas","Yea","H. R. 8038","On Passage"
"Lynch","Democratic","Massachusetts","Yea","H. R. 8038","On Passage"
"Mace","Republican","South Carolina","Nay","H. R. 8038","On Passage"
"Magaziner","Democratic","Rhode Island","Not Voting","H. R. 8038","On Passage"
"Malliotakis","Republican","New York","Yea","H. R. 8038","On Passage"
"Maloy","Republican","Utah","Yea","H. R. 8038","On Passage"
"Mann","Republican","Kansas","Yea","H. R. 8038","On Passage"
"Manning","Democratic","North Carolina","Yea","H. R. 8038","On Passage"
"Massie","Republican","Kentucky","Nay","H. R. 8038","On Passage"
"Mast","Republican","Florida","Yea","H. R. 8038","On Passage"
"Matsui","Democratic","California","Yea","H. R. 8038","On Passage"
"McBath","Democratic","Georgia","Yea","H. R. 8038","On Passage"
"McCaul","Republican","Texas","Yea","H. R. 8038","On Passage"
"McClain","Republican","Michigan","Yea","H. R. 8038","On Passage"
"McClellan","Democratic","Virginia","Yea","H. R. 8038","On Passage"
"McClintock","Republican","California","Nay","H. R. 8038","On Passage"
"McCollum","Democratic","Minnesota","Yea","H. R. 8038","On Passage"
"McCormick","Republican","Georgia","Yea","H. R. 8038","On Passage"
"McGarvey","Democratic","Kentucky","Yea","H. R. 8038","On Passage"
"McGovern","Democratic","Massachusetts","Nay","H. R. 8038","On Passage"
"McHenry","Republican","North Carolina","Nay","H. R. 8038","On Passage"
"Meeks","Democratic","New York","Yea","H. R. 8038","On Passage"
"Menendez","Democratic","New Jersey","Yea","H. R. 8038","On Passage"
"Meng","Democratic","New York","Yea","H. R. 8038","On Passage"
"Meuser","Republican","Pennsylvania","Yea","H. R. 8038","On Passage"
"Mfume","Democratic","Maryland","Yea","H. R. 8038","On Passage"
"Miller (IL)","Republican","Illinois","Yea","H. R. 8038","On Passage"
"Miller (OH)","Republican","Ohio","Yea","H. R. 8038","On Passage"
"Miller (WV)","Republican","West Virginia","Yea","H. R. 8038","On Passage"
"Miller-Meeks","Republican","Iowa","Yea","H. R. 8038","On Passage"
"Mills","Republican","Florida","Yea","H. R. 8038","On Passage"
"Molinaro","Republican","New York","Yea","H. R. 8038","On Passage"
"Moolenaar","Republican","Michigan","Yea","H. R. 8038","On Passage"
"Mooney","Republican","West Virginia","Not Voting","H. R. 8038","On Passage"
"Moore (AL)","Republican","Alabama","Nay","H. R. 8038","On Passage"
"Moore (UT)","Republican","Utah","Yea","H. R. 8038","On Passage"
"Moore (WI)","Democratic","Wisconsin","Nay","H. R. 8038","On Passage"
"Moran","Republican","Texas","Yea","H. R. 8038","On Passage"
"Morelle","Democratic","New York","Yea","H. R. 8038","On Passage"
"Moskowitz","Democratic","Florida","Yea","H. R. 8038","On Passage"
"Moulton","Democratic","Massachusetts","Yea","H. R. 8038","On Passage"
"Mrvan","Democratic","Indiana","Yea","H. R. 8038","On Passage"
"Mullin","Democratic","California","Yea","H. R. 8038","On Passage"
"Murphy","Republican","North Carolina","Yea","H. R. 8038","On Passage"
"Nadler","Democratic","New York","Yea","H. R. 8038","On Passage"
"Napolitano","Democratic","California","Yea","H. R. 8038","On Passage"
"Neal","Democratic","Massachusetts","Yea","H. R. 8038","On Passage"
"Neguse","Democratic","Colorado","Yea","H. R. 8038","On Passage"
"Nehls","Republican","Texas","Nay","H. R. 8038","On Passage"
"Newhouse","Republican","Washington","Yea","H. R. 8038","On Passage"
"Nickel","Democratic","North Carolina","Yea","H. R. 8038","On Passage"
"Norcross","Democratic","New Jersey","Yea","H. R. 8038","On Passage"
"Norman","Republican","South Carolina","Nay","H. R. 8038","On Passage"
"Nunn (IA)","Republican","Iowa","Yea","H. R. 8038","On Passage"
"Obernolte","Republican","California","Yea","H. R. 8038","On Passage"
"Ocasio-Cortez","Democratic","New York","Nay","H. R. 8038","On Passage"
"Ogles","Republican","Tennessee","Yea","H. R. 8038","On Passage"
"Omar","Democratic","Minnesota","Nay","H. R. 8038","On Passage"
"Owens","Republican","Utah","Yea","H. R. 8038","On Passage"
"Pallone","Democratic","New Jersey","Yea","H. R. 8038","On Passage"
"Palmer","Republican","Alabama","Yea","H. R. 8038","On Passage"
"Panetta","Democratic","California","Yea","H. R. 8038","On Passage"
"Pappas","Democratic","New Hampshire","Yea","H. R. 8038","On Passage"
"Pascrell","Democratic","New Jersey","Yea","H. R. 8038","On Passage"
"Payne","Democratic","New Jersey","Not Voting","H. R. 8038","On Passage"
"Pelosi","Democratic","California","Yea","H. R. 8038","On Passage"
"Peltola","Democratic","Alaska","Yea","H. R. 8038","On Passage"
"Pence","Republican","Indiana","Yea","H. R. 8038","On Passage"
"Perez","Democratic","Washington","Yea","H. R. 8038","On Passage"
"Perry","Republican","Pennsylvania","Not Voting","H. R. 8038","On Passage"
"Peters","Democratic","California","Yea","H. R. 8038","On Passage"
"Pettersen","Democratic","Colorado","Yea","H. R. 8038","On Passage"
"Pfluger","Republican","Texas","Yea","H. R. 8038","On Passage"
"Phillips","Democratic","Minnesota","Yea","H. R. 8038","On Passage"
"Pingree","Democratic","Maine","Yea","H. R. 8038","On Passage"
"Pocan","Democratic","Wisconsin","Nay","H. R. 8038","On Passage"
"Porter","Democratic","California","Yea","H. R. 8038","On Passage"
"Posey","Republican","Florida","Yea","H. R. 8038","On Passage"
"Pressley","Democratic","Massachusetts","Nay","H. R. 8038","On Passage"
"Quigley","Democratic","Illinois","Yea","H. R. 8038","On Passage"
"Ramirez","Democratic","Illinois","Nay","H. R. 8038","On Passage"
"Raskin","Democratic","Maryland","Yea","H. R. 8038","On Passage"
"Reschenthaler","Republican","Pennsylvania","Yea","H. R. 8038","On Passage"
"Rodgers (WA)","Republican","Washington","Yea","H. R. 8038","On Passage"
"Rogers (AL)","Republican","Alabama","Yea","H. R. 8038","On Passage"
"Rogers (KY)","Republican","Kentucky","Yea","H. R. 8038","On Passage"
"Rose","Republican","Tennessee","Yea","H. R. 8038","On Passage"
"Rosendale","Republican","Montana","Nay","H. R. 8038","On Passage"
"Ross","Democratic","North Carolina","Yea","H. R. 8038","On Passage"
"Rouzer","Republican","North Carolina","Yea","H. R. 8038","On Passage"
"Roy","Republican","Texas","Nay","H. R. 8038","On Passage"
"Ruiz","Democratic","California","Yea","H. R. 8038","On Passage"
"Ruppersberger","Democratic","Maryland","Yea","H. R. 8038","On Passage"
"Rutherford","Republican","Florida","Yea","H. R. 8038","On Passage"
"Ryan","Democratic","New York","Yea","H. R. 8038","On Passage"
"Salazar","Republican","Florida","Yea","H. R. 8038","On Passage"
"Salinas","Democratic","Oregon","Yea","H. R. 8038","On Passage"
"Sánchez","Democratic","California","Yea","H. R. 8038","On Passage"
"Sarbanes","Democratic","Maryland","Yea","H. R. 8038","On Passage"
"Scalise","Republican","Louisiana","Yea","H. R. 8038","On Passage"
"Scanlon","Democratic","Pennsylvania","Yea","H. R. 8038","On Passage"
"Schakowsky","Democratic","Illinois","Yea","H. R. 8038","On Passage"
"Schiff","Democratic","California","Yea","H. R. 8038","On Passage"
"Schneider","Democratic","Illinois","Yea","H. R. 8038","On Passage"
"Scholten","Democratic","Michigan","Yea","H. R. 8038","On Passage"
"Schrier","Democratic","Washington","Yea","H. R. 8038","On Passage"
"Schweikert","Republican","Arizona","Yea","H. R. 8038","On Passage"
"Scott (VA)","Democratic","Virginia","Yea","H. R. 8038","On Passage"
"Scott, Austin","Republican","Georgia","Yea","H. R. 8038","On Passage"
"Scott, David","Democratic","Georgia","Yea","H. R. 8038","On Passage"
"Self","Republican","Texas","Nay","H. R. 8038","On Passage"
"Sessions","Republican","Texas","Yea","H. R. 8038","On Passage"
"Sewell","Democratic","Alabama","Yea","H. R. 8038","On Passage"
"Sherman","Democratic","California","Yea","H. R. 8038","On Passage"
"Sherrill","Democratic","New Jersey","Yea","H. R. 8038","On Passage"
"Simpson","Republican","Idaho","Yea","H. R. 8038","On Passage"
"Slotkin","Democratic","Michigan","Yea","H. R. 8038","On Passage"
"Smith (MO)","Republican","Missouri","Yea","H. R. 8038","On Passage"
"Smith (NE)","Republican","Nebraska","Not Voting","H. R. 8038","On Passage"
"Smith (NJ)","Republican","New Jersey","Yea","H. R. 8038","On Passage"
"Smith (WA)","Democratic","Washington","Yea","H. R. 8038","On Passage"
"Smucker","Republican","Pennsylvania","Yea","H. R. 8038","On Passage"
"Sorensen","Democratic","Illinois","Yea","H. R. 8038","On Passage"
"Soto","Democratic","Florida","Yea","H. R. 8038","On Passage"
"Spanberger","Democratic","Virginia","Yea","H. R. 8038","On Passage"
"Spartz","Republican","Indiana","Yea","H. R. 8038","On Passage"
"Stansbury","Democratic","New Mexico","Yea","H. R. 8038","On Passage"
"Stanton","Democratic","Arizona","Yea","H. R. 8038","On Passage"
"Stauber","Republican","Minnesota","Yea","H. R. 8038","On Passage"
"Steel","Republican","California","Yea","H. R. 8038","On Passage"
"Stefanik","Republican","New York","Yea","H. R. 8038","On Passage"
"Steil","Republican","Wisconsin","Yea","H. R. 8038","On Passage"
"Steube","Republican","Florida","Yea","H. R. 8038","On Passage"
"Stevens","Democratic","Michigan","Yea","H. R. 8038","On Passage"
"Strickland","Democratic","Washington","Yea","H. R. 8038","On Passage"
"Strong","Republican","Alabama","Yea","H. R. 8038","On Passage"
"Suozzi","Democratic","New York","Yea","H. R. 8038","On Passage"
"Swalwell","Democratic","California","Yea","H. R. 8038","On Passage"
"Sykes","Democratic","Ohio","Yea","H. R. 8038","On Passage"
"Takano","Democratic","California","Yea","H. R. 8038","On Passage"
"Tenney","Republican","New York","Yea","H. R. 8038","On Passage"
"Thanedar","Democratic","Michigan","Yea","H. R. 8038","On Passage"
"Thompson (CA)","Democratic","California","Yea","H. R. 8038","On Passage"
"Thompson (MS)","Democratic","Mississippi","Yea","H. R. 8038","On Passage"
"Thompson (PA)","Republican","Pennsylvania","Yea","H. R. 8038","On Passage"
"Tiffany","Republican","Wisconsin","Yea","H. R. 8038","On Passage"
"Timmons","Republican","South Carolina","Nay","H. R. 8038","On Passage"
"Titus","Democratic","Nevada","Yea","H. R. 8038","On Passage"
"Tlaib","Democratic","Michigan","Nay","H. R. 8038","On Passage"
"Tokuda","Democratic","Hawaii","Yea","H. R. 8038","On Passage"
"Tonko","Democratic","New York","Yea","H. R. 8038","On Passage"
"Torres (CA)","Democratic","California","Yea","H. R. 8038","On Passage"
"Torres (NY)","Democratic","New York","Yea","H. R. 8038","On Passage"
"Trahan","Democratic","Massachusetts","Yea","H. R. 8038","On Passage"
"Trone","Democratic","Maryland","Yea","H. R. 8038","On Passage"
"Turner","Republican","Ohio","Yea","H. R. 8038","On Passage"
"Underwood","Democratic","Illinois","Yea","H. R. 8038","On Passage"
"Valadao","Republican","California","Yea","H. R. 8038","On Passage"
"Van Drew","Republican","New Jersey","Yea","H. R. 8038","On Passage"
"Van Duyne","Republican","Texas","Yea","H. R. 8038","On Passage"
"Van Orden","Republican","Wisconsin","Yea","H. R. 8038","On Passage"
"Vargas","Democratic","California","Nay","H. R. 8038","On Passage"
"Vasquez","Democratic","New Mexico","Yea","H. R. 8038","On Passage"
"Veasey","Democratic","Texas","Yea","H. R. 8038","On Passage"
"Velázquez","Democratic","New York","Nay","H. R. 8038","On Passage"
"Wagner","Republican","Missouri","Yea","H. R. 8038","On Passage"
"Walberg","Republican","Michigan","Yea","H. R. 8038","On Passage"
"Waltz","Republican","Florida","Yea","H. R. 8038","On Passage"
"Wasserman Schultz","Democratic","Florida","Yea","H. R. 8038","On Passage"
"Waters","Democratic","California","Nay","H. R. 8038","On Passage"
"Watson Coleman","Democratic","New Jersey","Yea","H. R. 8038","On Passage"
"Weber (TX)","Republican","Texas","Yea","H. R. 8038","On Passage"
"Webster (FL)","Republican","Florida","Yea","H. R. 8038","On Passage"
"Wenstrup","Republican","Ohio","Yea","H. R. 8038","On Passage"
"Westerman","Republican","Arkansas","Yea","H. R. 8038","On Passage"
"Wexton","Democratic","Virginia","Yea","H. R. 8038","On Passage"
"Wild","Democratic","Pennsylvania","Yea","H. R. 8038","On Passage"
"Williams (GA)","Democratic","Georgia","Nay","H. R. 8038","On Passage"
"Williams (NY)","Republican","New York","Not Voting","H. R. 8038","On Passage"
"Williams (TX)","Republican","Texas","Yea","H. R. 8038","On Passage"
"Wilson (FL)","Democratic","Florida","Yea","H. R. 8038","On Passage"
"Wilson (SC)","Republican","South Carolina","Yea","H. R. 8038","On Passage"
"Wittman","Republican","Virginia","Yea","H. R. 8038","On Passage"
"Womack","Republican","Arkansas","Yea","H. R. 8038","On Passage"
"Yakym","Republican","Indiana","Yea","H. R. 8038","On Passage"
"Zinke","Republican","Montana","Yea","H. R. 8038","On Passage"
"No data found","No data found","No data found",NA,"H. R. 8038","On Passage"
"Adams","Democratic","North Carolina","Yea","H. R. 8036","On Passage"
"Aderholt","Republican","Alabama","Yea","H. R. 8036","On Passage"
"Aguilar","Democratic","California","Yea","H. R. 8036","On Passage"
"Alford","Republican","Missouri","Yea","H. R. 8036","On Passage"
"Allen","Republican","Georgia","Yea","H. R. 8036","On Passage"
"Allred","Democratic","Texas","Yea","H. R. 8036","On Passage"
"Amo","Democratic","Rhode Island","Yea","H. R. 8036","On Passage"
"Amodei","Republican","Nevada","Yea","H. R. 8036","On Passage"
"Armstrong","Republican","North Dakota","Yea","H. R. 8036","On Passage"
"Arrington","Republican","Texas","Nay","H. R. 8036","On Passage"
"Auchincloss","Democratic","Massachusetts","Yea","H. R. 8036","On Passage"
"Babin","Republican","Texas","Yea","H. R. 8036","On Passage"
"Bacon","Republican","Nebraska","Yea","H. R. 8036","On Passage"
"Baird","Republican","Indiana","Nay","H. R. 8036","On Passage"
"Balderson","Republican","Ohio","Yea","H. R. 8036","On Passage"
"Balint","Democratic","Vermont","Yea","H. R. 8036","On Passage"
"Banks","Republican","Indiana","Yea","H. R. 8036","On Passage"
"Barr","Republican","Kentucky","Yea","H. R. 8036","On Passage"
"Barragán","Democratic","California","Yea","H. R. 8036","On Passage"
"Bean (FL)","Republican","Florida","Yea","H. R. 8036","On Passage"
"Beatty","Democratic","Ohio","Yea","H. R. 8036","On Passage"
"Bentz","Republican","Oregon","Yea","H. R. 8036","On Passage"
"Bera","Democratic","California","Yea","H. R. 8036","On Passage"
"Bergman","Republican","Michigan","Yea","H. R. 8036","On Passage"
"Beyer","Democratic","Virginia","Yea","H. R. 8036","On Passage"
"Bice","Republican","Oklahoma","Yea","H. R. 8036","On Passage"
"Biggs","Republican","Arizona","Nay","H. R. 8036","On Passage"
"Bilirakis","Republican","Florida","Yea","H. R. 8036","On Passage"
"Bishop (GA)","Democratic","Georgia","Yea","H. R. 8036","On Passage"
"Bishop (NC)","Republican","North Carolina","Nay","H. R. 8036","On Passage"
"Blumenauer","Democratic","Oregon","Yea","H. R. 8036","On Passage"
"Blunt Rochester","Democratic","Delaware","Yea","H. R. 8036","On Passage"
"Boebert","Republican","Colorado","Nay","H. R. 8036","On Passage"
"Bonamici","Democratic","Oregon","Yea","H. R. 8036","On Passage"
"Bost","Republican","Illinois","Yea","H. R. 8036","On Passage"
"Bowman","Democratic","New York","Yea","H. R. 8036","On Passage"
"Boyle (PA)","Democratic","Pennsylvania","Yea","H. R. 8036","On Passage"
"Brecheen","Republican","Oklahoma","Nay","H. R. 8036","On Passage"
"Brown","Democratic","Ohio","Yea","H. R. 8036","On Passage"
"Brownley","Democratic","California","Yea","H. R. 8036","On Passage"
"Buchanan","Republican","Florida","Yea","H. R. 8036","On Passage"
"Bucshon","Republican","Indiana","Yea","H. R. 8036","On Passage"
"Budzinski","Democratic","Illinois","Yea","H. R. 8036","On Passage"
"Burchett","Republican","Tennessee","Nay","H. R. 8036","On Passage"
"Burgess","Republican","Texas","Yea","H. R. 8036","On Passage"
"Burlison","Republican","Missouri","Nay","H. R. 8036","On Passage"
"Bush","Democratic","Missouri","Yea","H. R. 8036","On Passage"
"Calvert","Republican","California","Yea","H. R. 8036","On Passage"
"Cammack","Republican","Florida","Yea","H. R. 8036","On Passage"
"Caraveo","Democratic","Colorado","Yea","H. R. 8036","On Passage"
"Carbajal","Democratic","California","Yea","H. R. 8036","On Passage"
"Cárdenas","Democratic","California","Yea","H. R. 8036","On Passage"
"Carey","Republican","Ohio","Yea","H. R. 8036","On Passage"
"Carl","Republican","Alabama","Yea","H. R. 8036","On Passage"
"Carson","Democratic","Indiana","Yea","H. R. 8036","On Passage"
"Carter (GA)","Republican","Georgia","Yea","H. R. 8036","On Passage"
"Carter (LA)","Democratic","Louisiana","Yea","H. R. 8036","On Passage"
"Carter (TX)","Republican","Texas","Yea","H. R. 8036","On Passage"
"Cartwright","Democratic","Pennsylvania","Yea","H. R. 8036","On Passage"
"Casar","Democratic","Texas","Yea","H. R. 8036","On Passage"
"Case","Democratic","Hawaii","Yea","H. R. 8036","On Passage"
"Casten","Democratic","Illinois","Yea","H. R. 8036","On Passage"
"Castor (FL)","Democratic","Florida","Yea","H. R. 8036","On Passage"
"Castro (TX)","Democratic","Texas","Yea","H. R. 8036","On Passage"
"Chavez-DeRemer","Republican","Oregon","Yea","H. R. 8036","On Passage"
"Cherfilus-McCormick","Democratic","Florida","Yea","H. R. 8036","On Passage"
"Chu","Democratic","California","Yea","H. R. 8036","On Passage"
"Ciscomani","Republican","Arizona","Yea","H. R. 8036","On Passage"
"Clark (MA)","Democratic","Massachusetts","Yea","H. R. 8036","On Passage"
"Clarke (NY)","Democratic","New York","Yea","H. R. 8036","On Passage"
"Cleaver","Democratic","Missouri","Yea","H. R. 8036","On Passage"
"Cline","Republican","Virginia","Yea","H. R. 8036","On Passage"
"Cloud","Republican","Texas","Nay","H. R. 8036","On Passage"
"Clyburn","Democratic","South Carolina","Yea","H. R. 8036","On Passage"
"Clyde","Republican","Georgia","Nay","H. R. 8036","On Passage"
"Cohen","Democratic","Tennessee","Yea","H. R. 8036","On Passage"
"Cole","Republican","Oklahoma","Yea","H. R. 8036","On Passage"
"Collins","Republican","Georgia","Yea","H. R. 8036","On Passage"
"Comer","Republican","Kentucky","Nay","H. R. 8036","On Passage"
"Connolly","Democratic","Virginia","Yea","H. R. 8036","On Passage"
"Correa","Democratic","California","Yea","H. R. 8036","On Passage"
"Costa","Democratic","California","Yea","H. R. 8036","On Passage"
"Courtney","Democratic","Connecticut","Yea","H. R. 8036","On Passage"
"Craig","Democratic","Minnesota","Yea","H. R. 8036","On Passage"
"Crane","Republican","Arizona","Nay","H. R. 8036","On Passage"
"Crawford","Republican","Arkansas","Yea","H. R. 8036","On Passage"
"Crenshaw","Republican","Texas","Yea","H. R. 8036","On Passage"
"Crockett","Democratic","Texas","Yea","H. R. 8036","On Passage"
"Crow","Democratic","Colorado","Yea","H. R. 8036","On Passage"
"Cuellar","Democratic","Texas","Yea","H. R. 8036","On Passage"
"Curtis","Republican","Utah","Yea","H. R. 8036","On Passage"
"D'Esposito","Republican","New York","Yea","H. R. 8036","On Passage"
"Davids (KS)","Democratic","Kansas","Yea","H. R. 8036","On Passage"
"Davidson","Republican","Ohio","Yea","H. R. 8036","On Passage"
"Davis (IL)","Democratic","Illinois","Yea","H. R. 8036","On Passage"
"Davis (NC)","Democratic","North Carolina","Yea","H. R. 8036","On Passage"
"De La Cruz","Republican","Texas","Yea","H. R. 8036","On Passage"
"Dean (PA)","Democratic","Pennsylvania","Yea","H. R. 8036","On Passage"
"DeGette","Democratic","Colorado","Yea","H. R. 8036","On Passage"
"DeLauro","Democratic","Connecticut","Yea","H. R. 8036","On Passage"
"DelBene","Democratic","Washington","Yea","H. R. 8036","On Passage"
"Deluzio","Democratic","Pennsylvania","Yea","H. R. 8036","On Passage"
"DeSaulnier","Democratic","California","Yea","H. R. 8036","On Passage"
"DesJarlais","Republican","Tennessee","Nay","H. R. 8036","On Passage"
"Diaz-Balart","Republican","Florida","Yea","H. R. 8036","On Passage"
"Dingell","Democratic","Michigan","Not Voting","H. R. 8036","On Passage"
"Doggett","Democratic","Texas","Yea","H. R. 8036","On Passage"
"Donalds","Republican","Florida","Yea","H. R. 8036","On Passage"
"Duarte","Republican","California","Yea","H. R. 8036","On Passage"
"Duncan","Republican","South Carolina","Yea","H. R. 8036","On Passage"
"Dunn (FL)","Republican","Florida","Yea","H. R. 8036","On Passage"
"Edwards","Republican","North Carolina","Yea","H. R. 8036","On Passage"
"Ellzey","Republican","Texas","Yea","H. R. 8036","On Passage"
"Emmer","Republican","Minnesota","Yea","H. R. 8036","On Passage"
"Escobar","Democratic","Texas","Yea","H. R. 8036","On Passage"
"Eshoo","Democratic","California","Yea","H. R. 8036","On Passage"
"Espaillat","Democratic","New York","Yea","H. R. 8036","On Passage"
"Estes","Republican","Kansas","Yea","H. R. 8036","On Passage"
"Evans","Democratic","Pennsylvania","Yea","H. R. 8036","On Passage"
"Ezell","Republican","Mississippi","Yea","H. R. 8036","On Passage"
"Fallon","Republican","Texas","Yea","H. R. 8036","On Passage"
"Feenstra","Republican","Iowa","Yea","H. R. 8036","On Passage"
"Ferguson","Republican","Georgia","Yea","H. R. 8036","On Passage"
"Finstad","Republican","Minnesota","Yea","H. R. 8036","On Passage"
"Fischbach","Republican","Minnesota","Nay","H. R. 8036","On Passage"
"Fitzgerald","Republican","Wisconsin","Yea","H. R. 8036","On Passage"
"Fitzpatrick","Republican","Pennsylvania","Yea","H. R. 8036","On Passage"
"Fleischmann","Republican","Tennessee","Yea","H. R. 8036","On Passage"
"Fletcher","Democratic","Texas","Yea","H. R. 8036","On Passage"
"Flood","Republican","Nebraska","Yea","H. R. 8036","On Passage"
"Foster","Democratic","Illinois","Yea","H. R. 8036","On Passage"
"Foushee","Democratic","North Carolina","Yea","H. R. 8036","On Passage"
"Foxx","Republican","North Carolina","Yea","H. R. 8036","On Passage"
"Frankel, Lois","Democratic","Florida","Yea","H. R. 8036","On Passage"
"Franklin, Scott","Republican","Florida","Yea","H. R. 8036","On Passage"
"Frost","Democratic","Florida","Yea","H. R. 8036","On Passage"
"Fry","Republican","South Carolina","Yea","H. R. 8036","On Passage"
"Fulcher","Republican","Idaho","Nay","H. R. 8036","On Passage"
